firm_failure,firm_financial_crisis,first_year,age_at_financial_crisis,lifespan,log_total_investment,log_ipo_value,return_to_ipo,log_time_to_ipo,california,industry_segment,firm_founder_ceo,dot_com_ipo,firm_id
1,0,1997,,4,17.184925,19.074627,6.6173973,8.6877794,0,Business Support Services,1,0,68
0,0,2014,,4,19.82715,20.842073,2.7591486,8.1931238,1,Business Support Services,1,0,69
1,0,1998,,2,16.95278,19.477045,12.481726,7.9497972,0,Business Support Services,0,1,70
1,0,2000,,2,17.384287,17.715343,1.3924365,7.7209053,0,Retailers,0,0,71
0,0,1996,,21,,,,,,,,,72
0,0,2011,,6,18.021059,19.141197,3.065275,7.9218984,0,Consumer Information Services,1,0,73
1,0,1997,,6,16.465534,18.789507,10.216176,8.1247435,1,Software,1,0,74
1,0,1998,,2,17.317053,19.264099,7.0079579,7.2399325,1,Software,1,1,75
1,0,2006,,7,19.453272,,,8.7838554,0,Communications and Networking,1,0,76
1,0,1995,,1,18.452951,20.302195,6.3550081,6.8178306,0,Communications and Networking,1,0,77
1,0,1995,,4,15.111229,17.756842,14.092065,8.3074589,0,Materials and Chemicals,1,0,78
1,0,1998,,9,17.273779,18.578171,3.6854508,7.3783836,0,Travel and Leisure,0,1,79
1,0,1993,,13,15.187165,19.338572,63.523293,7.4535618,1,Software,1,0,80
1,0,2011,,6,16.394489,19.239723,17.205593,8.4392319,1,Business Support Services,0,0,81
1,0,1999,,3,16.936634,19.931557,19.98382,7.6520705,1,Software,0,1,82
1,1,2005,3,12,18.451513,19.180883,2.0737739,8.6050205,0,Media and Content,1,0,83
0,0,2011,,6,17.618008,18.906202,3.6262374,7.7890406,0,Software,1,0,84
0,0,2012,,5,18.062342,19.633671,4.813036,7.8811822,0,Consumer Information Services,0,0,85
1,0,1999,,0,17.065111,19.447483,10.830557,7.1577353,0,Business Support Services,1,1,86
1,0,1997,,9,16.459782,19.362637,18.226126,7.6778636,0,Communications and Networking,1,0,87
0,1,1997,11,16,,,,,,,,,88
1,1,2006,2,11,17.806154,19.790766,7.2762122,7.7638712,1,Semiconductors,1,0,89
1,1,2004,4,9,18.921473,19.324278,1.4960181,7.7075124,0,Communications and Networking,0,0,90
0,0,2013,,4,17.594112,19.478359,6.5813942,8.103797,0,Software,0,0,91
1,0,2004,,3,17.341665,18.305584,2.6219516,8.2377434,0,Retailers,1,0,92
1,0,1996,,1,17.986462,20.403923,11.217358,8.3274841,1,Communications and Networking,0,0,93
1,0,1999,,8,17.730148,20.110319,10.80674,7.0808678,1,Semiconductors,0,1,94
1,0,1999,,5,17.104258,19.397533,9.9073439,7.478735,0,Software,1,1,95
0,0,2012,,5,18.079054,19.164587,2.9610186,,0,,1,0,96
